 ,Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,AIRMASS,ALT_OBJ,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,Source-Sky_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,Variance_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,Variance_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3,Variance_C3,X(IJ)_C4,Y(IJ)_C4,X(FITS)_C4,Y(FITS)_C4,Source-Sky_C4,Source_Error_C4,Source_SNR_C4,Peak_C4,Mean_C4,Sky/Pixel_C4,Width_C4,X-Width_C4,Y-Width_C4,Angle_C4,Roundness_C4,Variance_C4
average 1,,,,57940.79551,2457940.796,2457940.795,2457940.801,#VALUE!,2.161013333,27.433174,-26.798302,120,18.529422,-14.315436,10,20,30,2.182892,0.213491667,0.447516667,1.061701333,0.010099667,0.003078,0.004288667,0.009330333,216.435713,69.49833833,104.5107997,114.0804417,220688.4958,958.6464203,691.2595963,363.7382083,691.7595963,660.7617917,481750.8293,761.7548237,632.4432813,6453.030599,2462.01284,937.4848993,10.36328233,10.367567,10.35899767,139.235857,0.999024333,1358685.82,624.1892107,297.8946147,624.6892107,726.6053853,38839.5816,532.767285,72.966079,1379.803996,1056.385989,933.4622523,10.58377167,10.34476067,10.822783,79.668186,0.997323667,8308.000503,716.648409,248.0785673,717.148409,776.4214327,68231.88893,550.8970307,123.94402,1739.04423,1150.830397,934.670057,10.376821,10.38178067,10.37186167,234.5865497,0.998929,27813.59465,716.2335067,548.3212917,716.7335067,476.1787083,113617.0252,575.9098363,197.3688663,2235.526449,1294.551296,932.6984853,10.40199833,10.390929,10.413068,45.18525933,0.998934,74033.01607
average 2,,,,57950.60178,2457950.602,2457950.602,2457950.607,#VALUE!,2.274501667,25.94154367,-26.890504,30,18.529422,-14.315436,9,20,30,3.031561333,0.21636,0.445191333,1.061884333,0.040126667,0.009169667,0.01259,0.027525333,77.739682,24.336978,36.36781833,39.809461,37476.45945,466.111485,584.75778,496.118218,585.25778,528.381782,113489.3184,373.8805463,302.0639517,2100.328695,710.4092077,264.514872,8.967892333,8.743603333,9.192181333,70.05228733,0.995493667,143231.3456,517.770433,430.2432063,518.270433,594.2567937,6685.16451,261.9591747,25.557645,378.824595,289.3695907,263.1233633,9.154222,8.888093333,9.420351,132.0491123,0.986650333,608.529273,610.404953,380.5412327,610.904953,643.9587673,11532.00327,267.8894273,43.068382,466.766764,309.565592,264.1076033,8.955971333,8.650032333,9.26191,139.1062887,0.99356,1632.142241,609.3828233,680.7367527,609.8828233,343.7632473,19259.29167,277.2556627,69.50324567,589.1545207,340.4147653,264.2709373,9.045113333,8.712841667,9.377385667,76.83584633,0.992733,4190.02662
average 3,,,,57953.60388,2457953.604,2457953.604,2457953.609,#VALUE!,2.161866667,27.42038233,-26.88107433,30,18.529422,-14.315436,10,20,30,3.015474333,0.207446333,0.445626667,1.083153,0.024934,0.005521333,0.007774,0.017364667,120.995978,37.58745667,57.34806933,62.40422767,57264.02175,453.050386,588.788523,623.343981,589.288523,401.156019,172669.1339,413.5517953,417.536703,2725.932861,714.712253,161.875398,9.154579667,9.337957333,8.971202,134.243968,0.997399,306608.3965,521.716289,557.4209657,522.216289,467.0790343,9838.516102,249.783219,39.39586467,323.8509523,190.9473113,159.6808323,9.465434333,9.308214667,9.622654333,65.05811533,0.996555667,1064.336597,614.4137673,507.6744327,614.9137673,516.8255673,17651.41153,259.625752,68.00773167,436.3038433,215.579346,159.3628117,9.182596,9.25601,9.109182333,29.27842867,0.999125333,3308.64824,613.5077637,808.1303513,614.0077637,216.3696487,29774.09412,274.6933663,108.4079887,621.9469607,255.646562,160.4187927,9.231312667,9.408169333,9.054455667,250.4150777,0.997509,9038.12669
average 4,,,,57948.33372,2457948.334,2457948.333,2457948.339,#VALUE!,2.199127222,26.9317,-26.85662678,60,18.529422,-14.315436,9.666666667,20,30,2.743309222,0.212432667,0.446111556,1.068912889,0.025053444,0.005923,0.008217556,0.018073444,138.3904577,43.807591,66.07556244,72.09804344,105142.9923,625.9360971,621.6019664,494.4001358,622.1019664,530.0998642,255969.7605,516.3957218,450.681312,3759.764052,1295.711434,454.6250564,9.495251444,9.483042556,9.507460333,114.5107041,0.997305667,602841.854,554.5586442,428.5195956,555.0586442,595.9804044,18454.42074,348.1698929,45.97319622,694.1598477,512.2342969,452.088816,9.734476,9.513689556,9.955262778,92.25847122,0.993509889,3326.955458,647.1557098,378.7647442,647.6557098,645.7352558,32471.76791,359.4707367,78.34004456,880.7049458,558.6584449,452.7134907,9.505129444,9.429274333,9.580984667,134.3237557,0.997204778,10918.12838,646.3746979,679.0627986,646.8746979,345.4372014,54216.80367,375.9529551,125.0933669,1148.875977,630.2042079,452.4627384,9.559474778,9.50398,9.614969778,124.1453944,0.996392,29087.05646
average 5,,,,57951.65769,2457951.658,2457951.658,2457951.663,#VALUE!,1.872394667,32.17041633,-26.86431033,30,18.529422,-14.315436,10,20,30,2.910513667,0.217220667,0.441953,1.062111333,0.023246333,0.005288667,0.007393333,0.016229333,125.2144007,41.07846933,59.78459233,65.44913433,48822.78891,369.755165,467.045595,392.233097,467.545595,632.266903,142099.4539,360.118244,394.577603,1806.241008,532.2173807,77.75431933,10.076594,10.50815433,9.645033333,14.23125667,0.989504333,131989.5025,400.0095797,326.2599083,400.5095797,698.2400917,8713.567233,201.1152057,43.32544833,190.322103,103.7217563,75.94178333,10.289043,10.46352567,10.11456033,39.17558933,0.995009667,533.3285177,492.58224,276.652874,493.08224,747.847126,14962.42283,211.3169873,70.80558467,263.933146,123.7668,76.06444633,10.11478133,10.331955,9.897607333,15.66611767,0.995037,1575.775279,491.737491,576.8347873,492.237491,447.6652127,25146.79884,227.1924157,110.6837987,388.810506,155.9660573,76.13218433,10.139142,10.56855133,9.709732333,19.19153433,0.987922667,4118.003837
average 6,,,,57952.59432,2457952.594,2457952.594,2457952.6,0,2.299388333,25.63657933,-26.826591,30,18.529422,-14.315436,10,20,30,2.965487667,0.208366,0.448198333,1.075251667,0.048825333,0.011554333,0.015859667,0.034974,60.85250433,18.072509,28.323166,30.81991567,50379.57038,807.494655,398.5889683,441.3276097,399.0889683,583.1723903,149408.5707,553.408281,270.1119793,3114.213949,1236.621301,760.8250767,9.362412,9.524346667,9.200477,254.6900847,0.995349667,218010.5439,331.702432,375.2209543,332.202432,649.2790457,8689.051524,461.11488,18.868527,932.2758787,788.5952753,760.9601587,9.377968,9.156516333,9.599419667,123.30906,0.966738667,1189.575807,424.1725297,325.7530193,424.6725297,698.7469807,15589.04166,464.7693283,33.578923,1054.928386,810.9365547,761.073538,9.314683,9.390478,9.238887667,315.2104233,0.989541,2897.801937,423.0933877,626.0755873,423.5933877,398.4244127,26101.47719,472.6579467,55.27990333,1168.302246,842.9845037,759.7682007,9.410042667,9.656909,9.163176333,126.9333107,0.996187,6813.66182
average 7,,,,57955.81479,2457955.815,2457955.815,2457955.82,#DIV/0!,3.382699667,16.97522567,-25.241345,30,18.529422,-14.315436,10,20,30,3.890941667,0.223676667,0.443988667,1.041183333,0.052525,0.009541,0.012932333,0.027630333,74.13100733,23.43005933,34.30853633,37.71970967,33568.8865,442.097027,781.6150507,424.9975513,782.1150507,599.5024487,130564.1293,380.9648097,342.7196297,1629.941162,582.7061793,168.2168797,10.523434,10.38506567,10.661802,307.092957,0.990912667,92262.20614,714.3966657,359.1291037,714.8966657,665.3708963,6128.332436,248.380262,24.672432,259.5118967,186.1444813,166.669976,10.76765767,10.20588233,11.329433,279.403507,0.987844333,324.5049303,806.94717,309.689826,807.44717,714.810174,10322.31891,253.990245,40.637601,300.9394733,199.237462,166.4586673,10.36536567,10.85771433,9.873017333,326.2605767,0.959515667,1110.435685,806.4653923,609.4884803,806.9653923,415.0115197,17118.23515,263.145736,65.05158133,366.027649,221.248239,166.9611093,10.557627,10.47279867,10.64245533,310.4063203,0.988707333,1731.423272
average 8,,,,57959.58871,2457959.589,2457959.589,2457959.594,#DIV/0!,2.150087667,27.58510333,-25.12923633,30,18.529422,-14.315436,10,20,30,10.17132233,0.216689333,0.443521667,1.061329667,0.136168667,0.009668667,0.013091,0.028606,74.737315,22.42725067,33.88670933,37.14366733,60720.53009,809.202657,639.8383227,416.8712123,640.3383227,607.6287877,617606.2653,786.2466153,785.5535093,8895.831706,2723.732619,758.8733133,9.704386333,10.020749,9.388023667,14.868436,0.994186667,2992544.59,572.920563,350.7538617,573.420563,673.7461383,10813.36091,460.556214,23.50326833,928.134542,786.0482853,751.6819883,9.985126333,10.10188333,9.868369333,33.42458767,0.984168667,1273.989941,665.324703,301.26631,665.824703,723.23369,18649.3474,465.7867977,40.05795833,1059.2276,812.977479,753.5269213,9.671851667,10.11044967,9.233253333,125.5790997,0.988105333,3228.074122,664.4682157,601.474257,664.9682157,423.025743,31257.82177,475.1146807,65.81029067,1192.854045,851.4107513,752.0797757,9.592779333,9.948576667,9.236982333,12.70312067,0.991769333,8449.162055
average 9,,,,57960.62594,2457960.626,2457960.626,2457960.631,#DIV/0!,1.896055667,31.71807233,-24.97836,30,18.529422,-14.315436,10,20,30,14.56181467,0.219253667,0.449935333,1.040734333,0.093183667,0.004383,0.006242667,0.013250333,156.3039643,50.027722,72.072276,78.58953633,55272.35433,349.802762,649.6138057,382.2427623,650.1138057,642.2572377,804780.9542,753.5893097,1067.890716,8989.764323,2643.204764,63.76897333,10.41301667,10.72647267,10.099561,127.8390213,0.99485,3582531.812,582.638212,316.3111863,583.138212,708.1888137,9939.915002,187.8435767,52.913881,171.846176,83.10278167,51.54833733,10.73678167,10.739727,10.733837,160.4856793,0.998144333,574.662894,675.204381,266.620309,675.704381,757.879691,17153.49417,199.839951,85.82599633,253.6033123,105.5715867,51.065508,10.40900267,10.774432,10.043573,9.423432333,0.992552333,1749.783263,674.3127137,566.9197293,674.8127137,457.5802707,28178.94516,217.1162553,129.7858363,376.089986,141.4464877,51.32276733,10.27690167,10.61868767,9.935116,237.065141,0.992760333,4895.855887
average 10,,,,57964.72044,2457964.72,2457964.72,2457964.725,#DIV/0!,2.076048,28.66951067,-25.08208733,30,18.529422,-14.315436,12,24,36,18.238595,0.213197,0.436326667,1.085477333,0.145652333,0.005593333,0.007693667,0.017471667,125.2216543,38.11773767,56.713751,62.128861,56956.75891,452.362153,645.4762167,436.1927173,645.9762167,588.3072827,1038821.063,866.0915993,1199.409585,9134.414063,2427.156237,99.49251367,11.88839233,11.612082,12.16470267,296.3822847,0.992258667,3752480.679,578.3459843,370.648968,578.8459843,653.851032,10008.65343,249.964544,40.040352,190.0911813,113.6692533,91.60748767,12.29080233,11.32604067,13.25556433,155.1095627,0.971056667,616.183002,670.7413533,320.6285307,671.2413533,703.8714693,17302.42423,258.5374427,66.924094,260.3904723,128.989723,90.738022,11.682081,11.267216,12.096946,159.1424363,0.990658,1530.148369,670.440658,621.0989647,670.940658,403.4010353,29645.68125,274.4216053,108.0303777,363.7156473,157.985634,92.15135933,11.79535,11.69610367,11.894596,305.7357077,0.994446667,3306.585636
average 11,,,,57965.57804,2457965.578,2457965.578,2457965.583,#DIV/0!,2.098428667,28.33251733,-25.05694133,30,18.529422,-14.315436,9,20,30,15.46039867,0.195451333,0.452961667,1.109846333,0.304466667,0.013943333,0.019646,0.044589667,50.776383,14.021101,23.01582333,24.89112767,55186.03307,1085.514502,495.3956643,467.472094,495.8956643,557.027906,852956.8343,975.5374647,874.4943203,14104.23893,5192.813625,1865.282932,9.229821667,9.103379333,9.356263667,202.6225633,0.996167333,6784621.259,428.6696027,401.9001737,429.1696027,622.5998263,9019.541825,619.827646,14.56599133,2040.312256,1895.134706,1859.672123,9.214891,8.586224667,9.843557667,292.9283833,0.949986,1723.519265,521.023667,351.7676197,521.523667,672.7323803,17185.52612,626.9085783,27.36992367,2159.187988,1928.972886,1861.852614,9.325005333,9.271244,9.378767333,56.23012433,0.996345,3535.093451,520.351021,652.279826,520.851021,372.220174,28980.96512,633.3546657,45.82060167,2337.015543,1986.05846,1872.407616,9.101569667,8.89516,9.307979667,136.1474063,0.987523333,9291.243681
average 12,,,,57966.59566,2457966.596,2457966.595,2457966.601,#DIV/0!,1.958837,30.58031433,-24.999315,30,18.529422,-14.315436,9,20,30,14.87307333,0.209753333,0.447610333,1.072414,0.130176333,0.006086,0.008582333,0.018867,114.2624407,34.468522,52.15849533,56.85571533,51228.9141,445.52115,519.6045777,484.1948987,520.1045777,540.3051013,761928.809,750.7042737,1014.951598,13133.68327,3237.99658,222.2581487,8.524217,8.757487,8.290947,227.246253,0.995530667,7622024.147,452.6239847,418.2365977,453.1239847,606.2634023,8881.875807,245.6573623,36.16812467,381.72936,249.9232513,214.8940037,8.665349333,8.480447333,8.850251,128.7627127,0.993517,1115.386022,545.0415943,368.6143777,545.5415943,655.8856223,15840.20539,256.150307,61.84085933,497.1478473,277.109706,215.2341947,8.499785,8.791664333,8.207905,344.2258223,0.990822333,3522.886482,544.3745117,669.023206,544.8745117,355.476794,26506.8329,269.3063483,98.427376,681.893412,318.3478303,214.6673277,8.599752333,8.816493,8.383011333,234.4151827,0.996264,9208.999818
average 13,,,,57973.691,2457973.691,2457973.691,2457973.696,#DIV/0!,2.038966,29.24657567,-25.03074767,30,18.529422,-14.315436,11,22,33,7.850101667,0.2199,0.435561333,1.067877667,0.097619,0.008966333,0.011984333,0.026667667,80.44395,24.52381567,36.354313,40.04451233,59490.69817,734.21408,511.0129593,543.2182497,511.5129593,481.2817503,466961.8006,692.304995,674.4697507,5049.333659,1714.526871,488.8763887,11.26815933,11.25968133,11.276638,311.225037,0.998085667,929737.8728,578.0228093,609.233693,578.5228093,415.266307,10718.10258,416.3041303,25.74579433,605.0890303,511.5609247,483.4049847,11.652267,11.08989733,12.214636,230.9600837,0.982224333,712.337061,485.1652597,658.85277,485.6652597,365.64723,18049.64209,421.870099,42.783697,690.1078083,531.3157863,483.8167283,11.28189133,11.18791067,11.37587233,302.6357823,0.996295,1682.223226,486.6036837,358.4290987,487.1036837,666.0709013,30722.9535,433.3416777,70.890624,797.2832843,567.100362,486.4698313,11.32687967,11.192133,11.46162633,292.340596,0.996681667,4247.543355
average 14,,,,57974.63522,2457974.635,2457974.635,2457974.64,#DIV/0!,1.835118333,32.91147267,-25.03703433,30,18.529422,-14.315436,9,18,30,7.374434333,0.214026667,0.436695,1.082389667,0.089869,0.008596,0.011733333,0.026464333,82.06503433,24.89927133,37.21993167,40.89875667,40067.60434,483.20568,641.178064,424.3425457,641.678064,600.1574543,295469.1387,515.7359203,572.9030563,4900.994629,1452.39011,293.6592553,9.152841667,8.703265,9.602418333,288.4250903,0.984814,904752.1096,573.8379627,358.3474893,574.3379627,666.1525107,7062.883755,270.402589,26.11999733,430.736562,320.516185,292.6713173,9.197486,8.826494667,9.568477,285.0834207,0.989301667,870.7824777,666.550507,308.730202,667.050507,715.769798,12178.12906,277.9565173,43.81273333,499.303121,339.7891123,292.2806353,9.152042333,8.608741,9.695343333,292.2279007,0.972466,1839.706581,666.0703563,608.8380897,666.5703563,415.6619103,20826.59153,288.2832177,72.24063933,634.8673907,375.1179083,293.6617617,9.163950667,8.609679,9.718223,288.674404,0.976779667,4942.443772
